iteration,d,t,delivered
iteration_9,1,1,88
iteration_9,1,2,70
iteration_9,1,3,93
iteration_9,1,4,0
iteration_9,1,5,59
iteration_9,1,6,0
iteration_9,2,1,128
iteration_9,2,2,0
iteration_9,2,3,48
iteration_9,2,4,38
iteration_9,2,5,30
iteration_9,2,6,24
iteration_9,3,1,160
iteration_9,3,2,0
iteration_9,3,3,102
iteration_9,3,4,0
iteration_9,3,5,64
iteration_9,3,6,0
iteration_9,4,1,101
iteration_9,4,2,80
iteration_9,4,3,108
iteration_9,4,4,0
iteration_9,4,5,40
iteration_9,4,6,31
iteration_9,5,1,113
iteration_9,5,2,153
iteration_9,5,3,0
iteration_9,5,4,96
iteration_9,5,5,0
iteration_9,5,6,35
iteration_9,6,1,160
iteration_9,6,2,0
iteration_9,6,3,60
iteration_9,6,4,48
iteration_9,6,5,38
iteration_9,6,6,30
iteration_9,7,1,78
iteration_9,7,2,0
iteration_9,7,3,54
iteration_9,7,4,64
iteration_9,7,5,158
iteration_9,7,6,0
iteration_9,8,1,23
iteration_9,8,2,26
iteration_9,8,3,31
iteration_9,8,4,78
iteration_9,8,5,0
iteration_9,8,6,54
iteration_9,9,1,104
iteration_9,9,2,0
iteration_9,9,3,72
iteration_9,9,4,86
iteration_9,9,5,102
iteration_9,9,6,122
iteration_9,10,1,208
iteration_9,10,2,0
iteration_9,10,3,299
iteration_9,10,4,0
iteration_9,10,5,207
iteration_9,10,6,249
iteration_9,11,1,57
iteration_9,11,2,0
iteration_9,11,3,80
iteration_9,11,4,0
iteration_9,11,5,55
iteration_9,11,6,65
iteration_9,12,1,25
iteration_9,12,2,30
iteration_9,12,3,72
iteration_9,12,4,0
iteration_9,12,5,49
iteration_9,12,6,58
iteration_9,13,1,35
iteration_9,13,2,38
iteration_9,13,3,79
iteration_9,13,4,0
iteration_9,13,5,30
iteration_9,13,6,45
iteration_9,14,1,234
iteration_9,14,2,0
iteration_9,14,3,126
iteration_9,14,4,121
iteration_9,14,5,124
iteration_9,14,6,119
iteration_9,15,1,88
iteration_9,15,2,94
iteration_9,15,3,80
iteration_9,15,4,119
iteration_9,15,5,238
iteration_9,15,6,0
iteration_9,16,1,235
iteration_9,16,2,0
iteration_9,16,3,130
iteration_9,16,4,232
iteration_9,16,5,0
iteration_9,16,6,122
iteration_9,17,1,124
iteration_9,17,2,0
iteration_9,17,3,139
iteration_9,17,4,0
iteration_9,17,5,78
iteration_9,17,6,82
iteration_9,18,1,215
iteration_9,18,2,0
iteration_9,18,3,126
iteration_9,18,4,127
iteration_9,18,5,108
iteration_9,18,6,124
iteration_9,19,1,103
iteration_9,19,2,0
iteration_9,19,3,161
iteration_9,19,4,0
iteration_9,19,5,138
iteration_9,19,6,0
iteration_9,20,1,99
iteration_9,20,2,124
iteration_9,20,3,33
iteration_9,20,4,0
iteration_9,20,5,99
iteration_9,20,6,10
iteration_9,21,1,93
iteration_9,21,2,118
iteration_9,21,3,143
iteration_9,21,4,37
iteration_9,21,5,0
iteration_9,21,6,80
iteration_9,22,1,162
iteration_9,22,2,0
iteration_9,22,3,20
iteration_9,22,4,30
iteration_9,22,5,73
iteration_9,22,6,113
iteration_9,23,1,23
iteration_9,23,2,132
iteration_9,23,3,0
iteration_9,23,4,139
iteration_9,23,5,0
iteration_9,23,6,113
iteration_9,24,1,61
iteration_9,24,2,0
iteration_9,24,3,119
iteration_9,24,4,123
iteration_9,24,5,19
iteration_9,24,6,63
iteration_9,25,1,25
iteration_9,25,2,38
iteration_9,25,3,113
iteration_9,25,4,126
iteration_9,25,5,138
iteration_9,25,6,101
iteration_9,26,1,48
iteration_9,26,2,0
iteration_9,26,3,201
iteration_9,26,4,0
iteration_9,26,5,126
iteration_9,26,6,50
iteration_9,27,1,182
iteration_9,27,2,0
iteration_9,27,3,116
iteration_9,27,4,48
iteration_9,27,5,0
iteration_9,27,6,15
iteration_9,28,1,167
iteration_9,28,2,0
iteration_9,28,3,65
iteration_9,28,4,0
iteration_9,28,5,53
iteration_9,28,6,0
iteration_9,29,1,241
iteration_9,29,2,0
iteration_9,29,3,189
iteration_9,29,4,6
iteration_9,29,5,86
iteration_9,29,6,0
iteration_9,30,1,94
iteration_9,30,2,213
iteration_9,30,3,0
iteration_9,30,4,85
iteration_9,30,5,0
iteration_9,30,6,31
