1,2,3,4,5,6,iteration
69,13,45,10,30,8,iteration_731
60,12,10,18,45,26,iteration_731
19,34,46,56,80,38,iteration_731
78,14,51,11,34,9,iteration_731
87,15,15,27,36,43,iteration_731
73,13,49,11,8,14,iteration_731
8,61,18,13,29,48,iteration_731
28,7,6,51,15,11,iteration_731
10,79,22,95,14,25,iteration_731
111,15,30,66,108,159,iteration_731
6,46,15,54,10,13,iteration_731
32,8,7,15,72,26,iteration_731
39,9,9,17,23,32,iteration_731
118,16,112,16,25,49,iteration_731
89,14,110,15,27,52,iteration_731
114,16,113,16,113,16,iteration_731
67,12,73,13,78,13,iteration_731
108,16,26,52,74,99,iteration_731
19,144,25,5,11,35,iteration_731
114,15,18,6,19,11,iteration_731
109,15,29,30,81,17,iteration_731
17,36,67,23,104,14,iteration_731
38,8,105,15,102,12,iteration_731
6,114,19,27,12,13,iteration_731
38,8,116,16,96,16,iteration_731
4,10,31,54,80,90,iteration_731
96,14,37,12,4,7,iteration_731
69,14,34,9,5,11,iteration_731
123,16,19,14,37,10,iteration_731
19,129,34,10,44,19,iteration_731
