iteration,r,d,t,amount
iteration_957,22,6,1,94
iteration_957,22,5,1,192
iteration_957,22,4,1,101
iteration_957,22,3,1,160
iteration_957,22,2,1,128
iteration_957,22,1,1,149
iteration_957,30,18,1,113
iteration_957,30,30,1,94
iteration_957,30,29,1,241
iteration_957,24,19,1,91
iteration_957,24,25,1,25
iteration_957,24,26,1,19
iteration_957,24,27,1,182
iteration_957,19,7,1,78
iteration_957,15,9,1,50
iteration_957,15,10,1,208
iteration_957,15,16,1,127
iteration_957,15,22,1,82
iteration_957,26,15,1,88
iteration_957,2,17,1,63
iteration_957,2,23,1,57
iteration_957,2,20,1,99
iteration_957,20,21,1,199
iteration_957,20,24,1,61
iteration_957,20,28,1,108
iteration_957,29,8,1,46
iteration_957,1,14,1,121
iteration_957,1,13,1,69
iteration_957,16,12,1,25
iteration_957,10,11,1,57
iteration_957,16,18,2,116
iteration_957,16,19,2,153
iteration_957,16,17,2,134
iteration_957,16,14,2,239
iteration_957,16,12,2,61
iteration_957,2,16,2,123
iteration_957,2,20,2,141
iteration_957,30,30,2,213
iteration_957,4,28,2,101
iteration_957,4,26,2,31
iteration_957,8,15,2,164
iteration_957,8,25,2,38
iteration_957,12,9,2,60
iteration_957,15,22,2,107
iteration_957,13,4,2,80
iteration_957,22,6,2,75
iteration_957,24,18,3,126
iteration_957,24,25,3,113
iteration_957,24,26,3,101
iteration_957,24,27,3,116
iteration_957,24,29,3,194
iteration_957,29,8,3,65
iteration_957,29,23,3,201
iteration_957,29,24,3,119
iteration_957,29,21,3,148
iteration_957,2,16,3,130
iteration_957,22,6,3,102
iteration_957,22,5,3,72
iteration_957,22,4,3,64
iteration_957,22,3,3,60
iteration_957,22,2,3,48
iteration_957,22,1,3,93
iteration_957,1,13,3,79
iteration_957,21,11,3,39
iteration_957,15,7,3,54
iteration_957,15,9,3,72
iteration_957,15,10,3,145
iteration_957,15,7,4,64
iteration_957,15,9,4,86
iteration_957,15,10,4,358
iteration_957,15,16,4,122
iteration_957,15,22,4,30
iteration_957,26,15,4,235
iteration_957,26,27,4,48
iteration_957,8,17,4,75
iteration_957,8,25,4,126
iteration_957,1,24,4,123
iteration_957,1,14,4,121
iteration_957,24,18,4,127
iteration_957,24,19,4,25
iteration_957,24,26,4,113
iteration_957,2,20,4,112
iteration_957,3,30,4,50
iteration_957,16,12,4,85
iteration_957,28,11,4,47
iteration_957,20,28,4,31
iteration_957,11,4,4,50
iteration_957,11,3,4,80
iteration_957,22,5,4,57
iteration_957,22,2,4,38
iteration_957,15,7,5,158
iteration_957,15,9,5,211
iteration_957,15,16,5,124
iteration_957,15,22,5,176
iteration_957,4,28,5,53
iteration_957,4,26,5,168
iteration_957,4,19,5,138
iteration_957,24,18,5,108
iteration_957,24,25,5,138
iteration_957,24,29,5,57
iteration_957,29,8,5,93
iteration_957,29,23,5,139
iteration_957,29,24,5,78
iteration_957,29,21,5,31
iteration_957,28,11,5,114
iteration_957,2,17,5,78
iteration_957,1,14,5,124
iteration_957,1,13,5,30
iteration_957,30,30,5,40
iteration_957,19,6,5,64
iteration_957,19,5,5,76
iteration_957,19,1,5,59
iteration_957,22,4,5,40
iteration_957,22,2,5,51
iteration_957,8,17,6,82
iteration_957,8,15,6,122
iteration_957,8,21,6,80
iteration_957,8,25,6,101
iteration_957,26,10,6,249
iteration_957,26,16,6,122
iteration_957,26,27,6,15
iteration_957,1,14,6,119
iteration_957,1,13,6,45
iteration_957,30,18,6,124
iteration_957,30,30,6,31
iteration_957,30,29,6,34
iteration_957,16,12,6,58
iteration_957,2,20,6,10
iteration_957,11,4,6,31
iteration_957,11,3,6,30
