iteration,s,t,f,k,b,amount
iteration_731,1,1,1,1,1,32.0
iteration_731,1,1,2,5,1,33.0
iteration_731,1,1,3,12,1,39.0
iteration_731,1,1,4,6,1,37.0
iteration_731,1,1,5,11,1,31.0
iteration_731,1,1,6,9,1,34.0
iteration_731,1,1,7,2,1,40.0
iteration_731,1,1,8,11,1,31.0
iteration_731,1,1,9,11,1,38.0
iteration_731,1,1,10,3,1,37.0
iteration_731,1,1,11,10,1,34.0
iteration_731,1,1,12,12,1,34.0
iteration_731,1,1,13,6,1,32.0
iteration_731,1,1,14,12,1,32.0
iteration_731,1,1,15,1,1,30.0
iteration_731,1,1,16,4,1,35.0
iteration_731,1,1,17,3,1,39.0
iteration_731,1,1,18,5,1,36.0
iteration_731,1,1,19,10,1,36.0
iteration_731,1,1,20,10,1,37.0
iteration_731,1,1,21,10,1,30.0
iteration_731,1,1,22,8,1,38.0
iteration_731,1,1,23,6,1,39.0
iteration_731,1,1,24,6,1,36.0
iteration_731,1,1,25,7,1,36.0
iteration_731,1,1,26,6,1,37.0
iteration_731,1,1,27,8,1,40.0
iteration_731,1,1,28,6,1,39.0
iteration_731,1,1,29,8,1,31.0
iteration_731,1,1,30,4,1,36.0
iteration_731,1,1,31,9,1,33.0
iteration_731,1,1,32,4,1,39.0
iteration_731,1,1,33,9,1,34.0
iteration_731,1,1,34,6,1,25.0
iteration_731,1,1,34,8,1,8.0
iteration_731,1,1,35,1,1,35.0
iteration_731,1,1,36,1,1,39.0
iteration_731,1,1,37,9,1,35.0
iteration_731,1,1,38,10,1,35.0
iteration_731,1,1,39,11,1,39.0
iteration_731,1,1,40,12,1,31.0
iteration_731,1,1,41,18,1,31.0
iteration_731,1,1,1,1,2,32.0
iteration_731,1,1,2,5,2,33.0
iteration_731,1,1,3,12,2,39.0
iteration_731,1,1,4,6,2,37.0
iteration_731,1,1,5,11,2,31.0
iteration_731,1,1,6,9,2,34.0
iteration_731,1,1,7,2,2,40.0
iteration_731,1,1,8,11,2,31.0
iteration_731,1,1,9,11,2,38.0
iteration_731,1,1,10,3,2,37.0
iteration_731,1,1,11,10,2,34.0
iteration_731,1,1,12,12,2,34.0
iteration_731,1,1,13,6,2,32.0
iteration_731,1,1,14,12,2,32.0
iteration_731,1,1,15,1,2,30.0
iteration_731,1,1,16,4,2,35.0
iteration_731,1,1,17,3,2,39.0
iteration_731,1,1,18,5,2,36.0
iteration_731,1,1,19,10,2,36.0
iteration_731,1,1,20,10,2,37.0
iteration_731,1,1,1,1,3,32.0
iteration_731,1,1,2,5,3,33.0
iteration_731,1,1,3,12,3,39.0
iteration_731,1,1,4,6,3,37.0
iteration_731,1,1,5,11,3,31.0
iteration_731,1,1,6,9,3,34.0
iteration_731,1,1,7,2,3,40.0
iteration_731,1,1,8,11,3,31.0
iteration_731,1,1,9,11,3,38.0
iteration_731,1,1,10,3,3,37.0
iteration_731,1,1,11,10,3,34.0
iteration_731,1,1,12,12,3,34.0
iteration_731,1,1,13,6,3,32.0
iteration_731,1,1,14,12,3,32.0
iteration_731,1,1,15,1,3,30.0
iteration_731,1,1,16,4,3,35.0
iteration_731,1,1,17,3,3,39.0
iteration_731,1,1,18,5,3,36.0
iteration_731,1,1,19,10,3,36.0
iteration_731,1,1,20,10,3,37.0
iteration_731,1,1,21,10,3,30.0
iteration_731,1,1,22,8,3,38.0
iteration_731,1,1,23,6,3,39.0
iteration_731,1,1,24,6,3,36.0
iteration_731,1,1,25,7,3,36.0
iteration_731,1,1,26,6,3,37.0
iteration_731,1,1,27,8,3,40.0
iteration_731,1,1,28,6,3,39.0
iteration_731,1,1,29,8,3,31.0
iteration_731,1,1,30,4,3,36.0
iteration_731,1,1,31,9,3,33.0
iteration_731,1,1,32,4,3,39.0
iteration_731,1,1,33,9,3,34.0
iteration_731,1,1,34,6,3,25.0
iteration_731,1,1,34,8,3,8.0
iteration_731,1,1,35,1,3,35.0
iteration_731,1,1,36,1,3,39.0
iteration_731,1,1,37,9,3,35.0
iteration_731,1,1,38,10,3,35.0
iteration_731,1,1,39,11,3,39.0
iteration_731,1,1,40,12,3,31.0
iteration_731,1,1,41,18,3,8.0
iteration_731,1,2,1,1,1,38.0
iteration_731,1,2,2,5,1,30.0
iteration_731,1,2,3,12,1,36.0
iteration_731,1,2,4,6,1,40.0
iteration_731,1,2,5,11,1,36.0
iteration_731,1,2,6,9,1,36.0
iteration_731,1,2,7,2,1,34.0
iteration_731,1,2,8,11,1,31.0
iteration_731,1,2,9,11,1,37.0
iteration_731,1,2,10,3,1,35.0
iteration_731,1,2,11,10,1,37.0
iteration_731,1,2,12,12,1,40.0
iteration_731,1,2,13,6,1,37.0
iteration_731,1,2,14,12,1,31.0
iteration_731,1,2,15,1,1,32.0
iteration_731,1,2,16,4,1,30.0
iteration_731,1,2,17,3,1,29.0
iteration_731,1,2,1,1,2,38.0
iteration_731,1,2,2,5,2,30.0
iteration_731,1,2,3,12,2,36.0
iteration_731,1,2,4,6,2,40.0
iteration_731,1,2,5,11,2,24.0
iteration_731,1,2,1,1,3,38.0
iteration_731,1,2,2,5,3,30.0
iteration_731,1,2,3,12,3,36.0
iteration_731,1,2,4,6,3,40.0
iteration_731,1,2,5,11,3,36.0
iteration_731,1,3,1,1,1,31.0
iteration_731,1,3,2,5,1,39.0
iteration_731,1,3,3,12,1,32.0
iteration_731,1,3,4,6,1,37.0
iteration_731,1,3,5,11,1,38.0
iteration_731,1,3,6,9,1,40.0
iteration_731,1,3,7,2,1,32.0
iteration_731,1,3,8,11,1,40.0
iteration_731,1,3,9,11,1,38.0
iteration_731,1,3,10,3,1,36.0
iteration_731,1,3,11,10,1,37.0
iteration_731,1,3,12,12,1,38.0
iteration_731,1,3,13,6,1,31.0
iteration_731,1,3,14,12,1,36.0
iteration_731,1,3,15,1,1,31.0
iteration_731,1,3,16,4,1,37.0
iteration_731,1,3,17,3,1,32.0
iteration_731,1,3,18,5,1,40.0
iteration_731,1,3,19,10,1,32.0
iteration_731,1,3,20,10,1,32.0
iteration_731,1,3,21,10,1,34.0
iteration_731,1,3,22,8,1,39.0
iteration_731,1,3,23,6,1,24.0
iteration_731,1,3,1,1,2,31.0
iteration_731,1,3,2,5,2,39.0
iteration_731,1,3,3,12,2,32.0
iteration_731,1,3,4,6,2,37.0
iteration_731,1,3,5,11,2,38.0
iteration_731,1,3,6,9,2,40.0
iteration_731,1,3,7,2,2,32.0
iteration_731,1,3,8,11,2,40.0
iteration_731,1,3,9,11,2,38.0
iteration_731,1,3,10,3,2,36.0
iteration_731,1,3,11,10,2,37.0
iteration_731,1,3,12,12,2,38.0
iteration_731,1,3,13,6,2,31.0
iteration_731,1,3,14,12,2,36.0
iteration_731,1,3,15,1,2,31.0
iteration_731,1,3,16,4,2,37.0
iteration_731,1,3,17,3,2,32.0
iteration_731,1,3,18,5,2,40.0
iteration_731,1,3,19,10,2,32.0
iteration_731,1,3,20,10,2,32.0
iteration_731,1,3,21,10,2,34.0
iteration_731,1,3,22,8,2,39.0
iteration_731,1,3,23,6,2,31.0
iteration_731,1,3,24,6,2,31.0
iteration_731,1,3,25,7,2,33.0
iteration_731,1,3,26,6,2,31.0
iteration_731,1,3,27,8,2,31.0
iteration_731,1,3,28,6,2,36.0
iteration_731,1,3,29,8,2,35.0
iteration_731,1,3,30,4,2,12.0
iteration_731,1,3,1,1,3,31.0
iteration_731,1,3,2,5,3,39.0
iteration_731,1,3,3,12,3,32.0
iteration_731,1,3,4,6,3,37.0
iteration_731,1,3,5,11,3,38.0
iteration_731,1,3,6,9,3,40.0
iteration_731,1,3,7,2,3,32.0
iteration_731,1,3,8,11,3,40.0
iteration_731,1,3,9,11,3,38.0
iteration_731,1,3,10,3,3,36.0
iteration_731,1,3,11,10,3,37.0
iteration_731,1,3,12,12,3,38.0
iteration_731,1,3,13,6,3,31.0
iteration_731,1,3,14,12,3,36.0
iteration_731,1,3,15,1,3,31.0
iteration_731,1,3,16,4,3,37.0
iteration_731,1,3,17,3,3,32.0
iteration_731,1,3,18,5,3,40.0
iteration_731,1,3,19,10,3,32.0
iteration_731,1,3,20,10,3,32.0
iteration_731,1,3,21,10,3,34.0
iteration_731,1,3,22,8,3,39.0
iteration_731,1,3,23,6,3,31.0
iteration_731,1,3,24,6,3,19.0
iteration_731,1,4,1,1,1,39.0
iteration_731,1,4,2,5,1,35.0
iteration_731,1,4,3,12,1,40.0
iteration_731,1,4,4,6,1,34.0
iteration_731,1,4,5,11,1,39.0
iteration_731,1,4,6,9,1,40.0
iteration_731,1,4,7,2,1,30.0
iteration_731,1,4,8,11,1,30.0
iteration_731,1,4,9,11,1,33.0
iteration_731,1,4,10,3,1,34.0
iteration_731,1,4,11,10,1,31.0
iteration_731,1,4,12,12,1,35.0
iteration_731,1,4,13,6,1,39.0
iteration_731,1,4,14,12,1,31.0
iteration_731,1,4,15,1,1,33.0
iteration_731,1,4,16,4,1,40.0
iteration_731,1,4,17,3,1,35.0
iteration_731,1,4,18,5,1,19.0
iteration_731,1,4,1,1,2,39.0
iteration_731,1,4,2,5,2,35.0
iteration_731,1,4,3,12,2,40.0
iteration_731,1,4,4,6,2,34.0
iteration_731,1,4,5,11,2,39.0
iteration_731,1,4,6,9,2,40.0
iteration_731,1,4,7,2,2,30.0
iteration_731,1,4,8,11,2,6.0
iteration_731,1,4,1,1,3,39.0
iteration_731,1,4,2,5,3,35.0
iteration_731,1,4,3,12,3,40.0
iteration_731,1,4,4,6,3,34.0
iteration_731,1,4,5,11,3,39.0
iteration_731,1,4,6,9,3,40.0
iteration_731,1,4,7,2,3,30.0
iteration_731,1,4,8,11,3,30.0
iteration_731,1,4,9,11,3,33.0
iteration_731,1,4,10,3,3,34.0
iteration_731,1,4,11,10,3,3.0
iteration_731,1,5,1,1,1,38.0
iteration_731,1,5,2,5,1,38.0
iteration_731,1,5,3,12,1,40.0
iteration_731,1,5,4,6,1,30.0
iteration_731,1,5,5,11,1,38.0
iteration_731,1,5,6,9,1,33.0
iteration_731,1,5,7,2,1,30.0
iteration_731,1,5,8,11,1,36.0
iteration_731,1,5,9,11,1,34.0
iteration_731,1,5,10,3,1,36.0
iteration_731,1,5,11,10,1,30.0
iteration_731,1,5,12,12,1,33.0
iteration_731,1,5,13,6,1,39.0
iteration_731,1,5,14,12,1,37.0
iteration_731,1,5,15,1,1,40.0
iteration_731,1,5,16,4,1,33.0
iteration_731,1,5,17,3,1,33.0
iteration_731,1,5,18,5,1,39.0
iteration_731,1,5,19,10,1,6.0
iteration_731,1,5,1,1,2,38.0
iteration_731,1,5,2,5,2,38.0
iteration_731,1,5,3,12,2,40.0
iteration_731,1,5,4,6,2,30.0
iteration_731,1,5,5,11,2,38.0
iteration_731,1,5,6,9,2,33.0
iteration_731,1,5,7,2,2,30.0
iteration_731,1,5,8,11,2,36.0
iteration_731,1,5,9,11,2,34.0
iteration_731,1,5,10,3,2,36.0
iteration_731,1,5,11,10,2,30.0
iteration_731,1,5,12,12,2,33.0
iteration_731,1,5,13,6,2,39.0
iteration_731,1,5,14,12,2,37.0
iteration_731,1,5,15,1,2,40.0
iteration_731,1,5,16,4,2,33.0
