iteration,d,t,target,two_period
iteration_162,1,1,88,False
iteration_162,1,2,112,True
iteration_162,1,4,44,False
iteration_162,1,5,35,False
iteration_162,1,6,28,False
iteration_162,2,1,120,True
iteration_162,2,3,77,True
iteration_162,2,5,30,False
iteration_162,2,6,24,False
iteration_162,3,1,148,True
iteration_162,3,3,97,True
iteration_162,3,5,38,False
iteration_162,3,6,30,False
iteration_162,4,1,101,False
iteration_162,4,2,127,True
iteration_162,4,4,82,True
iteration_162,4,6,31,False
iteration_162,5,1,177,True
iteration_162,5,3,114,True
iteration_162,5,5,45,False
iteration_162,5,6,35,False
iteration_162,6,1,148,True
iteration_162,6,3,97,True
iteration_162,6,5,38,False
iteration_162,6,6,30,False
iteration_162,7,1,75,True
iteration_162,7,3,54,False
iteration_162,7,4,64,False
iteration_162,7,5,77,False
iteration_162,7,6,92,False
iteration_162,8,1,46,True
iteration_162,8,3,31,False
iteration_162,8,4,38,False
iteration_162,8,5,45,False
iteration_162,8,6,54,False
iteration_162,9,1,99,True
iteration_162,9,3,72,False
iteration_162,9,4,163,True
iteration_162,9,6,122,False
iteration_162,10,1,191,True
iteration_162,10,3,145,False
iteration_162,10,4,174,False
iteration_162,10,5,207,False
iteration_162,10,6,249,False
iteration_162,11,1,56,True
iteration_162,11,3,39,False
iteration_162,11,4,91,True
iteration_162,11,6,65,False
iteration_162,12,1,25,False
iteration_162,12,2,30,False
iteration_162,12,3,35,False
iteration_162,12,4,82,True
iteration_162,12,6,58,False
iteration_162,13,1,67,True
iteration_162,13,3,76,True
iteration_162,13,5,69,True
iteration_162,14,1,214,True
iteration_162,14,3,212,True
iteration_162,14,5,210,True
iteration_162,15,1,159,True
iteration_162,15,3,174,True
iteration_162,15,5,131,False
iteration_162,15,6,122,False
iteration_162,16,1,127,False
iteration_162,16,2,217,True
iteration_162,16,4,122,False
iteration_162,16,5,124,False
iteration_162,16,6,122,False
iteration_162,17,1,117,True
iteration_162,17,3,131,True
iteration_162,17,5,140,True
iteration_162,18,1,113,False
iteration_162,18,2,116,False
iteration_162,18,3,126,False
iteration_162,18,4,127,False
iteration_162,18,5,108,False
iteration_162,18,6,124,False
iteration_162,19,1,95,True
iteration_162,19,3,145,True
iteration_162,19,5,28,False
iteration_162,19,6,116,False
iteration_162,20,1,99,False
iteration_162,20,2,127,True
iteration_162,20,4,15,False
iteration_162,20,5,99,False
iteration_162,20,6,10,False
iteration_162,21,1,93,False
iteration_162,21,2,118,False
iteration_162,21,3,132,True
iteration_162,21,5,31,False
iteration_162,21,6,80,False
iteration_162,22,1,82,False
iteration_162,22,2,99,True
iteration_162,22,4,30,False
iteration_162,22,5,162,True
iteration_162,23,1,56,True
iteration_162,23,3,101,False
iteration_162,23,4,113,False
iteration_162,23,5,127,True
iteration_162,24,1,60,True
iteration_162,24,3,209,True
iteration_162,24,5,19,False
iteration_162,24,6,63,False
iteration_162,25,1,58,True
iteration_162,25,3,113,False
iteration_162,25,4,126,False
iteration_162,25,5,206,True
iteration_162,26,1,47,True
iteration_162,26,3,185,True
iteration_162,26,5,154,True
iteration_162,27,1,168,True
iteration_162,27,3,129,True
iteration_162,27,5,19,False
iteration_162,27,6,15,False
iteration_162,28,1,155,True
iteration_162,28,3,38,False
iteration_162,28,4,31,False
iteration_162,28,5,25,False
iteration_162,28,6,31,False
iteration_162,29,1,220,True
iteration_162,29,3,169,True
iteration_162,29,5,82,True
iteration_162,30,1,175,True
iteration_162,30,3,119,False
iteration_162,30,4,50,False
iteration_162,30,5,40,False
iteration_162,30,6,31,False
