iteration,route_costs,assignment_costs,transportation_costs,inventory_costs,waste_costs,total_cost
iteration_1,2447.67765944,2010.8485095719154,358.8927427322768,18258.780000000006,49905.67037003,72981.8692817742
iteration_2,2472.1260452100005,3017.6972693913694,400.67244453899934,18834.240000000005,43347.11181229,68071.84757143038
iteration_3,2410.4263849999998,2249.0601166384813,369.90121811005116,17810.003999999994,46378.37837259,69217.77009233853
iteration_4,2496.8105258200003,1943.801054995768,373.95464758759226,18243.324000000004,43622.68149959001,66680.57172799337
iteration_5,2456.8454719600004,1726.7121611950115,322.3607215677974,17827.11600000001,47397.98621559999,69731.02057032281
iteration_6,2293.2442003300002,2408.9400752966535,391.83897242611863,17635.296000000006,48582.93587099,71312.25511904278
iteration_7,2360.73020656,1553.5519181023942,344.36852016304124,17941.656000000003,44339.16268657,66539.46933139543
iteration_8,2383.6446579100007,2386.5754910950677,351.2820738761635,18481.512,44669.84631133,68272.86053421124
iteration_9,2500.3122461999997,2193.7772691943364,368.31560489382946,17581.2,41142.554313890025,63786.15943417819
iteration_10,2484.30213206,2136.0808978739587,398.16111475698983,16786.044000000005,47866.45468400999,69671.04282870094
