iteration,r,d,t,amount
iteration_1,30,18,1,113
iteration_1,30,30,1,175
iteration_1,30,29,1,220
iteration_1,22,6,1,94
iteration_1,22,5,1,177
iteration_1,22,4,1,158
iteration_1,22,3,1,94
iteration_1,22,2,1,120
iteration_1,22,1,1,88
iteration_1,24,19,1,95
iteration_1,24,25,1,58
iteration_1,24,26,1,47
iteration_1,24,27,1,91
iteration_1,2,16,1,215
iteration_1,2,17,1,63
iteration_1,2,23,1,23
iteration_1,2,20,1,99
iteration_1,4,28,1,155
iteration_1,15,7,1,38
iteration_1,15,9,1,99
iteration_1,15,10,1,101
iteration_1,15,22,1,82
iteration_1,1,24,1,60
iteration_1,1,14,1,214
iteration_1,1,13,1,35
iteration_1,26,15,1,159
iteration_1,16,12,1,52
iteration_1,8,21,1,93
iteration_1,6,8,1,23
iteration_1,28,11,1,28
iteration_1,2,17,2,125
iteration_1,2,23,2,122
iteration_1,2,20,2,127
iteration_1,10,13,2,74
iteration_1,10,10,2,228
iteration_1,10,11,2,66
iteration_1,3,22,2,99
iteration_1,3,27,2,189
iteration_1,8,21,2,225
iteration_1,15,7,2,45
iteration_1,29,8,2,26
iteration_1,24,18,2,116
iteration_1,19,6,2,120
iteration_1,19,3,2,120
iteration_1,19,1,2,70
iteration_1,30,18,3,217
iteration_1,30,30,3,119
iteration_1,30,29,3,189
iteration_1,24,19,3,145
iteration_1,24,25,3,113
iteration_1,24,26,3,101
iteration_1,4,28,3,38
iteration_1,1,24,3,119
iteration_1,1,14,3,126
iteration_1,16,12,3,35
iteration_1,29,8,3,64
iteration_1,12,9,3,72
iteration_1,22,5,3,114
iteration_1,22,4,3,102
iteration_1,22,2,3,48
iteration_1,22,1,3,55
iteration_1,6,15,3,80
iteration_1,11,16,3,130
iteration_1,27,7,3,54
iteration_1,15,7,4,124
iteration_1,15,9,4,163
iteration_1,15,10,4,323
iteration_1,15,16,4,122
iteration_1,15,22,4,30
iteration_1,2,17,4,135
iteration_1,2,23,4,127
iteration_1,2,20,4,102
iteration_1,26,15,4,215
iteration_1,26,27,4,47
iteration_1,8,21,4,6
iteration_1,8,25,4,126
iteration_1,1,24,4,125
iteration_1,1,14,4,121
iteration_1,1,13,4,40
iteration_1,10,11,4,47
iteration_1,28,12,4,41
iteration_1,3,30,4,50
iteration_1,20,26,4,113
iteration_1,20,28,4,31
iteration_1,24,29,4,6
iteration_1,7,2,4,62
iteration_1,19,6,4,48
iteration_1,19,3,4,48
iteration_1,19,1,4,44
iteration_1,24,18,5,201
iteration_1,24,19,5,126
iteration_1,24,25,5,138
iteration_1,24,26,5,126
iteration_1,24,29,5,57
iteration_1,4,28,5,53
iteration_1,30,30,5,40
iteration_1,1,14,5,210
iteration_1,1,13,5,30
iteration_1,16,12,5,49
iteration_1,29,8,5,89
iteration_1,29,21,5,31
iteration_1,21,16,5,124
iteration_1,21,11,5,107
iteration_1,22,6,5,38
iteration_1,22,5,5,45
iteration_1,22,4,5,40
iteration_1,22,3,5,38
iteration_1,22,1,5,58
iteration_1,20,22,5,73
iteration_1,15,7,6,92
iteration_1,15,9,6,122
iteration_1,15,10,6,249
iteration_1,15,16,6,122
iteration_1,15,22,6,113
iteration_1,2,17,6,82
iteration_1,2,23,6,113
iteration_1,2,20,6,10
iteration_1,8,15,6,122
iteration_1,8,21,6,80
iteration_1,8,25,6,101
iteration_1,26,27,6,15
iteration_1,10,13,6,45
iteration_1,3,30,6,31
iteration_1,29,24,6,63
iteration_1,28,12,6,58
iteration_1,20,26,6,50
iteration_1,24,29,6,34
iteration_1,19,6,6,30
iteration_1,19,5,6,35
iteration_1,19,3,6,30
iteration_1,11,4,6,31
iteration_1,13,2,6,24
