iteration,s,t,f,k,b,amount
iteration_1,1,1,1,1,2,32.0
iteration_1,1,1,2,5,2,33.0
iteration_1,1,1,3,12,2,39.0
iteration_1,1,1,4,6,2,37.0
iteration_1,1,1,5,11,2,31.0
iteration_1,1,1,6,9,2,34.0
iteration_1,1,1,7,2,2,40.0
iteration_1,1,1,8,11,2,31.0
iteration_1,1,1,9,11,2,38.0
iteration_1,1,1,10,3,2,37.0
iteration_1,1,1,11,10,2,34.0
iteration_1,1,1,12,12,2,34.0
iteration_1,1,1,13,6,2,32.0
iteration_1,1,1,14,12,2,32.0
iteration_1,1,1,15,1,2,30.0
iteration_1,1,1,16,4,2,35.0
iteration_1,1,1,17,3,2,39.0
iteration_1,1,1,18,5,2,36.0
iteration_1,1,1,19,10,2,36.0
iteration_1,1,1,20,10,2,37.0
iteration_1,1,1,21,10,2,30.0
iteration_1,1,1,22,8,2,38.0
iteration_1,1,1,23,6,2,39.0
iteration_1,1,1,24,6,2,36.0
iteration_1,1,1,25,7,2,36.0
iteration_1,1,1,26,6,2,37.0
iteration_1,1,1,27,8,2,40.0
iteration_1,1,1,28,6,2,39.0
iteration_1,1,1,29,8,2,31.0
iteration_1,1,1,30,4,2,36.0
iteration_1,1,1,31,9,2,33.0
iteration_1,1,1,32,4,2,39.0
iteration_1,1,1,33,9,2,34.0
iteration_1,1,1,34,6,2,25.0
iteration_1,1,1,34,8,2,8.0
iteration_1,1,1,35,1,2,35.0
iteration_1,1,1,36,1,2,39.0
iteration_1,1,1,37,9,2,35.0
iteration_1,1,1,38,10,2,35.0
iteration_1,1,1,39,11,2,39.0
iteration_1,1,1,40,12,2,31.0
iteration_1,1,1,41,18,1,36.0
iteration_1,1,1,42,13,1,38.0
iteration_1,1,1,43,14,1,32.0
iteration_1,1,1,44,14,1,35.0
iteration_1,1,1,45,14,1,39.0
iteration_1,1,1,46,14,1,39.0
iteration_1,1,1,47,14,1,36.0
iteration_1,1,1,48,13,1,35.0
iteration_1,1,1,49,25,2,35.0
iteration_1,1,1,50,18,1,32.0
iteration_1,1,1,51,25,2,38.0
iteration_1,1,1,52,14,1,34.0
iteration_1,1,1,53,14,1,30.0
iteration_1,1,1,53,13,1,3.0
iteration_1,1,1,54,25,2,35.0
iteration_1,1,1,55,15,2,30.0
iteration_1,1,1,56,18,1,31.0
iteration_1,1,1,57,16,2,33.0
iteration_1,1,1,58,25,2,36.0
iteration_1,1,1,59,25,2,40.0
iteration_1,1,1,60,22,2,32.0
iteration_1,1,1,61,25,2,37.0
iteration_1,1,1,62,16,2,32.0
iteration_1,1,1,63,16,2,37.0
iteration_1,1,1,64,25,2,24.0
iteration_1,1,1,64,22,2,4.0
iteration_1,1,1,64,22,1,2.0
iteration_1,1,1,65,24,1,38.0
