iteration,d,t,target,two_period
iteration_1,1,1,88,False
iteration_1,1,2,70,False
iteration_1,1,3,55,False
iteration_1,1,4,44,False
iteration_1,1,5,58,True
iteration_1,2,1,120,True
iteration_1,2,3,48,False
iteration_1,2,4,62,True
iteration_1,2,6,24,False
iteration_1,3,1,94,False
iteration_1,3,2,120,True
iteration_1,3,4,48,False
iteration_1,3,5,38,False
iteration_1,3,6,30,False
iteration_1,4,1,158,True
iteration_1,4,3,102,True
iteration_1,4,5,40,False
iteration_1,4,6,31,False
iteration_1,5,1,177,True
iteration_1,5,3,114,True
iteration_1,5,5,45,False
iteration_1,5,6,35,False
iteration_1,6,1,94,False
iteration_1,6,2,120,True
iteration_1,6,4,48,False
iteration_1,6,5,38,False
iteration_1,6,6,30,False
iteration_1,7,1,38,False
iteration_1,7,2,45,False
iteration_1,7,3,54,False
iteration_1,7,4,124,True
iteration_1,7,6,92,False
iteration_1,8,1,23,False
iteration_1,8,2,26,False
iteration_1,8,3,64,True
iteration_1,8,5,89,True
iteration_1,9,1,99,True
iteration_1,9,3,72,False
iteration_1,9,4,163,True
iteration_1,9,6,122,False
iteration_1,10,1,101,False
iteration_1,10,2,228,True
iteration_1,10,4,323,True
iteration_1,10,6,249,False
iteration_1,11,1,28,False
iteration_1,11,2,66,True
iteration_1,11,4,47,False
iteration_1,11,5,107,True
iteration_1,12,1,52,True
iteration_1,12,3,35,False
iteration_1,12,4,41,False
iteration_1,12,5,49,False
iteration_1,12,6,58,False
iteration_1,13,1,35,False
iteration_1,13,2,74,True
iteration_1,13,4,40,False
iteration_1,13,5,30,False
iteration_1,13,6,45,False
iteration_1,14,1,214,True
iteration_1,14,3,126,False
iteration_1,14,4,121,False
iteration_1,14,5,210,True
iteration_1,15,1,159,True
iteration_1,15,3,80,False
iteration_1,15,4,215,True
iteration_1,15,6,122,False
iteration_1,16,1,215,True
iteration_1,16,3,130,False
iteration_1,16,4,122,False
iteration_1,16,5,124,False
iteration_1,16,6,122,False
iteration_1,17,1,63,False
iteration_1,17,2,125,True
iteration_1,17,4,135,True
iteration_1,17,6,82,False
iteration_1,18,1,113,False
iteration_1,18,2,116,False
iteration_1,18,3,217,True
iteration_1,18,5,201,True
iteration_1,19,1,95,True
iteration_1,19,3,145,True
iteration_1,19,5,126,True
iteration_1,20,1,99,False
iteration_1,20,2,127,True
iteration_1,20,4,102,True
iteration_1,20,6,10,False
iteration_1,21,1,93,False
iteration_1,21,2,225,True
iteration_1,21,4,6,False
iteration_1,21,5,31,False
iteration_1,21,6,80,False
iteration_1,22,1,82,False
iteration_1,22,2,99,True
iteration_1,22,4,30,False
iteration_1,22,5,73,False
iteration_1,22,6,113,False
iteration_1,23,1,23,False
iteration_1,23,2,122,True
iteration_1,23,4,127,True
iteration_1,23,6,113,False
iteration_1,24,1,60,True
iteration_1,24,3,119,False
iteration_1,24,4,125,True
iteration_1,24,6,63,False
iteration_1,25,1,58,True
iteration_1,25,3,113,False
iteration_1,25,4,126,False
iteration_1,25,5,138,False
iteration_1,25,6,101,False
iteration_1,26,1,47,True
iteration_1,26,3,101,False
iteration_1,26,4,113,False
iteration_1,26,5,126,False
iteration_1,26,6,50,False
iteration_1,27,1,91,False
iteration_1,27,2,189,True
iteration_1,27,4,47,True
iteration_1,27,6,15,False
iteration_1,28,1,155,True
iteration_1,28,3,38,False
iteration_1,28,4,31,False
iteration_1,28,5,53,True
iteration_1,29,1,220,True
iteration_1,29,3,189,False
iteration_1,29,4,6,False
iteration_1,29,5,57,False
iteration_1,29,6,34,False
iteration_1,30,1,175,True
iteration_1,30,3,119,False
iteration_1,30,4,50,False
iteration_1,30,5,40,False
iteration_1,30,6,31,False
