d,1,2,3,4,5,6,iteration
1,0,0,0,0,8,16,iteration_1
2,0,0,12,0,0,18,iteration_1
3,0,0,0,31,0,0,iteration_1
4,0,0,14,0,11,0,iteration_1
5,0,0,15,0,12,0,iteration_1
6,0,0,0,31,0,0,iteration_1
7,0,0,0,0,0,40,iteration_1
8,0,0,0,0,19,0,iteration_1
9,0,0,11,0,0,29,iteration_1
10,0,0,0,38,0,20,iteration_1
11,0,0,0,15,0,0,iteration_1
12,0,0,8,0,0,0,iteration_1
13,0,0,0,16,0,0,iteration_1
14,0,0,16,0,0,0,iteration_1
15,0,0,14,0,0,32,iteration_1
16,0,0,16,0,0,0,iteration_1
17,0,0,0,25,0,13,iteration_1
18,0,0,0,0,63,0,iteration_1
19,0,0,11,0,13,0,iteration_1
20,0,0,0,32,0,11,iteration_1
21,0,0,0,36,0,0,iteration_1
22,0,0,0,28,0,0,iteration_1
23,0,0,0,17,0,12,iteration_1
24,0,0,8,0,0,36,iteration_1
25,0,0,8,0,0,0,iteration_1
26,0,0,7,0,0,0,iteration_1
27,0,0,0,34,0,7,iteration_1
28,0,0,14,0,0,0,iteration_1
29,0,0,16,0,34,0,iteration_1
30,0,0,15,0,0,2,iteration_1
